project_number,project_title,project_starts,project_ends,project_description,project_category,project_sector,project_budget,project_leader,project_inst,project_addr
280207,Fully automated traceabillity of QC results for ETO Production,2017,2021,"Mange norske små og mellomstore bedrifter (SMB-er) har en stor andel engineer-to-order (ETO) produksjon. For slike skreddersydde produkter utgjør ofte kvalitetssikring (QA) en stor andel av produksjonskostnadene. QA kan forsinke leveranser og medføre store direkte kostnader. Manuell QA er tidkrevende og krever høy kompetanse. SMB-er er gjerne sårbare for tap av nøkkelpersonell med påkrevd QA kompetanse. 
I senere tid har norske underleverandører til maritim og offshore industri opplevd stadig større konkurranse og høyere krav til kortere leveringstid blant sine kunder. De er nødt til å levere kundetilpassede produkter på betydelig kortere tid enn i dag for å kunne konkurrere i et globalt marked.  
I storskala serieproduksjon brukes maskinlæring for QA rutinemessig. Med løpende sensordata fra produksjonslinjen og moderne maskinlæringsteknologi er det store besparelser ved at systemet automatisk kan avgjøre om eventuelle avvik vil påvirke kvaliteten. For norske SMB-er, som er spesialisert på små serier og ETO produksjon, er en slik automatisk QA ikke tilgjengelig: Seriene er for små til å rekke å trene opp maskinlæringssystemet før bedriften må videre til neste produkt. 
Vi skal støtte opp om norsk industri gjennom å gjøre maskinlæringsbasert QA tilgjengelig for små serier av skreddersydde produkter. Prosjektet vil bidra til å skape mer konkurransedyktige norske utstyrsleverandører, til maritim og offshore sektor, men også andre markeder med høye krav til kort leveringstid.",Teknisk-industrielle institutter,Instituttsektor,4000000,Jeremy Cook,NORCE Teknologi/Energi VESTLAND,Bergen
280282,A New Traumatic Axonal Injury Classification Scheme based on Clinical and Improved MR Imaging Biomarkers,2017,2021,"Traumatic injuries to the head can cause differing degrees of damage to the brain, ranging from none to mild, moderate or severe traumatic brain injury (TBI). The management of patients with TBI depends on the severity of the injury and the primary imaging modality is still CT in the acute phase. But today we know that CT may only show the ""tip of the iceberg"" of the actual injuries to the brain, and in some instances the scan miss injuries altogether. In particular, traumatic axonal injury (TAI) is difficult to detect by CT. In the last decade, different MRI techniques therefore have been increasingly used. MRI can detect visible TAI lesions, but also other more subtle brain injuries, with a much higher sensitivity than that observed for CT.
In TAI-MRI, we aim to develop a classification system that can better describe severity of TAI and predict the outcome of injuries. The current classification system is based on neuropathological studies from 1980s and has been extrapolated to classify also injuries on MRI in surviving patients. This classification system has shown limitation in reflecting the actual burden of axonal injuries. A classification system that better reflects the distribution of axonal injuries and that also takes into account the prognostic significance of the different TAI lesions would help both doctors and health care professionals as well as patients and their families to understand the effects of brain injury and also what prognosis can be expected during the first year. To develop such an important and reliable classification system, researchers from four different countries will collaborate and data from three different studies including almost 1400 patients will be included and analyzed. MRI methods have been continuously developed during the last couple of decades, and new promising technological advances enable us to analyze MRI data in a more automated way. The results of this project should improve the care of patients with TBI.",Universiteter,UoH-sektor,4236000,Anne Vik,Institutt for nevromedisin og bevegelsesvitenskap,Trondheim
280297,MEDPROT- Development of new production technologies for  biopharmaceuticals,2018,2021,"Biotherapeutics make up a class of drugs including proteins and peptides, which are generally produced in living organisms and used for treatment of a wide variety of diseases including cancer, diabetes, and rheumatoid arthritis. These products also provide genuinely new strategies against infectious agents and orphan diseases alike. Despite the wide and highly increasing use of biotherapeutics and their commercial and economic value there is currently no established commercial manufacturing of biotherapeutics in Norway. Biotherapeutics may be further processed to radiopharmaceuticals consisting of radiolabeled conjugates used for diagnostic or treatment purposes. The overall goal for this R&D-project is to establish new production technologies enabling competitive process development and manufacturing for protein based pharmaceuticals, including radiopharmaceuticals. As a necessary approach the aim of this R&D-project will be to develop improved bioreactor upstream processes, improved analytical methods for better product characterization and new production process automatization including use of robotics during radioisotope handling. Furthermore, the project will include set-up of new test facilities based on method transfer and development for both new GMP upstream and downstream processes. The project will be a collaboration between different scientific and technical partners with expertise within cell cultivation, bioanalytical methods, biopharmaceutics process manufacturing (upstream and downstream), process sensor technologies, manufacturing of radiopharmaceuticals, automatization and robotics. The current project aims to be an initiator for the Norwegian pharmaceutical industry through stimulating and enabling the building of new competitive biopharmaceutical business on a large scale within a highly promising area.",Næringsliv,Næringsliv,15982737,Jan Egil Melvik,DIATEC MONOCLONALS AS,Oslo
280472,Overburden Analysis and Seal Integrity Study for CO2 Sequestration in the North Sea,2018,2022,"This proposal is directly in response to the thematic area ""New knowledge that facilitates large-scale CO2 storage in the North Sea"". The overall objectives are also targeted towards addressing some important topics under the themes of i) increasing knowledge about storage capacity, injectivity and the long-term effects of stored CO2, ii) gaining a better understanding of the mechanism that prevent leakage of CO2, and iii) increasing knowledge of how pressure build in a CO2 storage can be handled. The seal rock integrity and the overburden rocks will be analysed for proposed CO2 storage sites Smeaheia (east of the Troll Field) in the North Sea in order to identify critically stressed faults to predict slip on potential active faults as a function of pore pressure change or buildup, evaluate risk for fracturing, and risk of vertical and lateral CO2 migration. 

The project will be carried out as a collaborative effort between the University of Oslo, Norwegian Geotechnical Institute, Norwegian Computing Center, Colorado School of Mines and Curtin University with Statoil & TOTAL. OASIS will generate site specific seismic data derived 3D geomechanical models focusing on the overburden and seal rocks for the potential CO2 storage reservoirs. All the other necessary information (e.g. available cores, cuttings, wireline logs, laboratory test data, and pressure data from the wells) can be subsequently used to calibrate and iterate the models. In addition to the innovative procedure for the integrated computational 3D geomechanical modeling of the CO2 storage seal and overburden, caprock leakage potential, and the overburden pore pressure and pore fluid distributions from seismic inversion, the project will produce much needed high-quality hydro-mechanical data on overburden and cap rocks from advanced laboratory testing. This makes the project directly applicable and of benefit to existing and future large-scale CO2 storage projects in the Norwegian Continental Shelf (NCS).",Universiteter,UoH-sektor,8700000,Nazmul Haque Mondol,Institutt for geofag,Oslo
280655,Online risk management and risk control for autonomous ships,2018,2022,"The maritime industry is subject to a technology and business transition towards increased level of autonomy enabling lower manning or unmanned ships supported by onshore operational centres. The main drivers may be associated with reduced construction and operational cost, as well as improved safety and environmental impact. This project will develop novel technological solutions for online (real-time) risk management and risk control of autonomous ships. Cutting-edge interdisciplinary research aims to achieve high level of autonomy, intelligence and decision making capabilities for autonomous ships. The goal is to enhance the realization of autonomous ships by developing safer and smarter automatic sailing systems and power and propulsion control systems that are able to detect, perceive, verify, monitor, control and follow-up deviations and potential hazards. 

Complex power and propulsion systems will be installed in autonomous ships. Advanced control systems introduce new types of failures, due to unforeseen interlocks in system design and functionality. If personnel are not onboard to operate, the ship needs to have safe and reliable onboard systems with high availability to be able to maneuover safely in the seaway. Shutting down and remobilizing the ship operation due to hazards caused by automatic or autonomous systems, including false alarms, are not economically viable, nor acceptable from a risk perspective. If sufficient system integrity cannot be ensured, highly autonomous and unmanned ships will not be realized on a broader scale. 

The knowledge building in the project will be decisive for the realization of autonomous ships. Specifically, the research results will lead to improved automatic sailing systems and power and propulsion control systems through the integration of risk modelling, machine learning, simulation, and verification of safe responses with optimization-based model predictive control (MPC).",Universiteter,UoH-sektor,10342000,Ingrid Bouwer Utne,NTNU FAKULTET FOR INGENIØRVITENSKAP,Trondheim
280709,Novel cascade technology for optimal utilization of animal and marine by-products,2018,2022,"Annually, large quantities of by-products are produced from the animal and marine food processing industry. Cod heads and mechanically deboned poultry residues are two of the most underutilized by-products in Norway. These by-products are complex materials consisting of components such as proteins, fats, minerals, and other nutrients of high nutritional value for a globally growing population. If successfully processed into refined and tailor-made products, there is a great economic potential for high-paying markets. The proteins alone has an estimated 25 to 65% increase in sale price if processed optimally, as compared to the raw material. In recent years, enzymatic protein hydrolysis (EPH) have gained significant attention as a mild and versatile processing technology of animal and marine by-products. However, currently this technology cannot be used to take full advantage of the multitude of components in the by-products. In this project, we will develop a novel cascade bioprocessing technology that will solve this challenge. The cascade will constitute a combination of several different processing steps, each one aimed at giving separate products with the highest possible yield and quality. To be able to achieve this goal, we will combine research from several different scientific disciplines, namely bioprocessing and enzyme stabilization technologies, computer simulation and modelling, spectroscopy and analytical chemistry. By adopting the cascade bioprocessing technology, potential products from the cascade bioprocess can be formulated into a multitude of refined high-quality products for high-paying markets. To our knowledge, there are currently no companies in the world using cascade bioprocessing to facilitate full utilization of marine and animal-based by-products. In the future, our industrial partners and the rest of the by-product processing industry will have the desired technological for total utilisation and optimal value-creation of by-products.",Primærnæringsinstitutter,Instituttsektor,15965000,Nils Kristian Afseth,NOFIMA AS,Tromsø
280934,Autonomous subsea intervention (SEAVENTION),2018,2021,"SEAVENTION addresses the goals of the PETROMAKS2 programme by researching and developing competence, novel methods, algorithms and technology for autonomous subsea intervention.  

The project will develop technology for advanced perception and planning with deep learning capabilities that enables Unmanned Underwater Vehicles (UUV) to perform light intervention tasks semi- or fully autonomously (e.g., cleaning, valve manipulation), while ensuring that operators are kept in the loop.

To this end, SEAVENTION will deliver research and competence building on robust subsea perception with active 3D sensors, automated planning for UUV intervention procedures and augmented reality for UUV operator decision support. 

This is to meet the subsea industry's need for 1) more cost-efficient subsea solutions (autonomous UUVs, reduced need for surface support vessels), 2) increased competitiveness of Norwegian petroleum-related industry (enable them to offer the solutions of the future), 3) increased safety (less personnel offshore with autonomous UUVs, safe UUV operations, less dependence on highly skilled/experienced operators through new decision support systems) and 4) competence-building adapted to the needs of the industry. 

The main research challenges encompass 1) how to achieve robust 3D object detection and localization subsea, 2) how to merge high-level AI with low-level control for robust subsea intervention, 3) how to achieve dynamic UUV motion planning and decision making under uncertainty, and 4) how to achieve augmented reality for shared intervention control - in order to ensure the right level of autonomy and operator involvement in different subsea operations. Hence full autonomy / operator independence is in many cases not a goal it in self - the goal is to solve the right tasks in the right way. 

Project results will be tested and demonstrated in state-of-the-art lab facilities and we target also to do sea trials and demonstrations.",Teknisk-industrielle institutter,Instituttsektor,10000000,Aksel Andreas Transeth,SINTEF DIGITAL,Trondheim
280942,Advanced laboratory methods for cuttings analyses,2018,2022,"This project will explore the use of nano- and micro-scale techniques to characterise subsurface formations in order to improve drilling operations, logged data interpretation and large-scale geomechanical models. Such techniques will be applied to cuttings, readily available during most drilling campaigns. The ultimate goal is to be able in the future to derive petrophysical and mechanical properties of the overburden and reservoir while drilling, so as to improve pre-drill models and optimise the driller's choices in near real-time. In parallel, probing the formations at multiple scales will contribute to modelling efforts, where upscaling is dependent on high-quality input data for all constituent material phases. Such model predictions can in turn be verified by proper test procedures at the different scales (nano, micro and standard plug size). The biggest challenge to be overcome will be developing and performing advanced mechanical tests schemes combined with microscopy that allow correlating the macroscopic properties to the nanoscale structures. It will be difficult to determine whether this information is sufficient in order to upscale the properties and correctly predict behaviour at macro-scale. However, if successful, a method will be provided for drilling safely by adjusting drilling parameters on the way to target, with much more data than what is available today, based on few cores and lengthy tests. A market will be created for comprehensive testing on cuttings, continually produced as drilling progresses. It can be envisaged that with new upscaling models that we aim to develop, X-ray CT of well cuttings combined with indentation and acoustic velocity determination on rig to calibrate logs will be sufficient to continuously monitor and optimise the drilling process.",Teknisk-industrielle institutter,Instituttsektor,10674000,Ragnhild Skorpa,SINTEF INDUSTRI AVD TRONDHEIM S P AND VEI,Trondheim
281018,Remote Inspection of Wooden Utility Poles,2018,2022,"Remote sensing has been successfully used for surface monitoring of electricity power lines, poles, transformers and other equipment so that defects are discovered and power supply interruptions are reduced. Nevertheless, remote sensing technologies and techniques are still facing the complex task to effectively screening the inside of the infrastructure and detect hidden defects, for example, rot inside utility poles and over and underground, thus, hardly any non-visible damage and defects can be recognized without to destructively reveal them.
This competency building initiative is devoted to establishing a benchmark concept and methodologies for airborne remote sensing of subsurface defects in large and complex infrastructures, specifically, of wooden utility poles within the electricity transmission and distribution network. The ambition of RIWUP is to lay the foundation to enable that all poles are in service to their true remaining useful lifetime and preventing unpredicted failure. 

Today, the safety and serviceability of the WUPs depend on relatively sparse periodic inspections based on human inspectors and do not provide a high degree of confidence on the condition and useful life while still having dangerous poles in service. 
In a close collaboration with NMBU, Teknova has conceptualized a new method for remote inspection based on in-depth understanding of pole rot signals and the mathem. and statistical structures in them. This initiative strives for airborne scanning using a compact multi-modal sensing (i.e. visual, infrared thermal, radar tomography, and laser absorption spectroscopy) for collecting data from long distances and uncovering rot.

The industrial partners are engaged in this initiative for field evaluation of the new knowledge detection of rotten wooden poles and estimating its remaining useful life. National and international collaboration and dissemination of the findings is planned for publications and to evaluate other applications.",Teknisk-industrielle institutter,Instituttsektor,8200000,Ahmed Nabil Belbachir,NORCE Teknologi/Energi AGDER,Kristiansand
281148,MarinRobotics - Active Robot Vision to enable Automated Sorting and Handling of Compliant Marine Raw Materials,2018,2019,"One of the greatest challenges in the Norwegian marine industry is the lack of technological solutions for an automated sorting and handling of marine raw materials. Many harvesting and processing tasks in the marine industry are still manual based such is the example of roe, milt, and liver sorting in whitefish industry, sorting and post-trimming operations in both whitefish, pelagic and other sectors. As a result, only a portion of marine resources are efficiently used. To enable a higher harvesting sustaniability, resource efficiency and monitoring there is a need for automated solutions for sorting and handling based on 3D robot vision.  

Development of novel concepts for robotic automation in marine industry such as sorting and manipulation involves a robot being able to interact (e.g. by grasping ) with compliant objects, such as fish, fillets, or fractions such as heads, roe, milt and similar. These objects typically move or deform when interaction/manipulation is initiated. Given a 3D image by a depth camera, one can compute the interaction vector (e.g. for the grasp), for the object of interest. Once the interaction has begun the object may become partially occluded and begin to move and deform. For this interaction phase an active perception with robot by means of 3D visual servoing is necessary to have a complete overview of the 3D structure of the object and to be able to handle occlusion and deformation. Research activity in MarinRobotics project is therefore aimed at giving a robot the kind of interaction intelligence that human workers have and to enable a robot to 'see' better so that robots can work in a 'sense-think-action' manner in the same way skilled human operators do when they perform sorting/manipulation of marine raw materials. 

This leads us to the following hypothesis that will be investigated:

-Active perception by means of 3D visual servoing improves object's 3D exploration and correct 3D localization during sorting/manipulation.",Teknisk-industrielle institutter,Instituttsektor,107374.74,Ekrem Misimi,SINTEF OCEAN AS,Trondheim
281234,Robotised cells to obtain efficient meat production for the Norwegian meat industry,2018,2022,"MeaTable will develop a novel robotic work-bench, or cell, for use in abattoirs for assisting with the primary cutting of carcasses. The main objective of the project is to reduce the work load and strain on human workers. The work-bench will hold, lift, manipulate and orientate the carcass to enable a human-operator to perform the necessary cuts quickly and with the minimum of effort and in this way improve the work environment of thousands of workers in Norway and beyond. Furthermore, transportation of parts from the carcass is incorporated to further alleviate labour intensity, as well as reduce cross-contamination risks.

The project aims to increase productivity in an energy-efficient, sustainable way, by introducing  automation to the meat slaughter and cutting process that is suitable for the scale of the Norwegian industry. The process shall improve environmental sustainability performance while maintaining or improving economic and social sustainability. Using the novel Cell concept as its starting point, MeaTable will introduce a flexible, scalable, and robust automation solution to the meat industry. Based on human/robot collaboration, that are suitable for the scale of Norwegian slaughterhouses, we develop a system that is specifically well suited for the Norwegian market.",Universiteter,UoH-sektor,10231000,Alex Mason,FAKULTET FOR REALFAG OG TEKNOLOGI,Ås
281354,Software Validation and Verification via Artificial Intelligence,2018,2018,"The VIVA project focuses on the use of Artificial Intelligence methods in Software Verification and Validation (V&V). A crucial challenge in V&V aims at automatically detecting and locating faults in computer programs. Our recent work in this matter suggests that this problem of automatic fault localization can be advantageously tackled with Data mining (DM) and Constraint Programming (CP) techniques. Such a reduction has enabled us to propose efficient resolution methods using CP mechanisms and achieved a major breakthrough in the field [1]. In parallel, the Software Engineering group at SIMULA RESEARCH LABORATORY1 has developed a number of advanced techniques in V&V using Artificial Intelligence techniques. In particular, working on test case generation [2,3], test suite reduction and scheduling [4,5], this group has acquired a great expertise in the usage of CP and Machine Learning techniques for various software testing applications [6,7]. The VIVA project will strengthen our results by forging a solid and long-term partnership between LIRMM and SIMULA by developing new methods for V&V problems with Artificial Intelligence-based techniques such as CP and DM. VIVA will also foster collaboration between LIRMM and SIMULA through the visit of researchers and PhD students from both side.",Øvrige forskningsinstitutter,Instituttsektor,33649,Arnaud Gotlieb,SIMULA RESEARCH LABORATORY AS,Bærum
281681,ECSEL-prosjekt SILENSE ((Ultra)Sound Interfaces and Low Energy Integrated Sensors),2017,2020,"I SILENSE prosjektet forskes det på nye akustiske teknologier og det utvikles nye konsepter for å kunne aktivere og styre utstyr ved hjelp av gest, data kommunikasjon og innendørs posisjonering, basert på disse nye akustiske teknologiene. Konseptene som utvikles kan brukes i forskjellige domener: bærbar, bil og smarte hjem anvendelser. Det skal både utvikles nye sensorer og aktuatorer (mikrofoner, høyttalere) som er miniatyriserte og ny elektronikk for akustisk signalbehandling, spesielt for frekvenser i ultralydområdet. Komponentene skal da kunne settes sammen og ved hjelp av nye algoritmer som også skal utvikles og tilpasset programvare vil teknologien bli demonstrert i de forskjellige nevnte bruksområdene på slutten av prosjektet. 
Elliptic Labs vil i prosjektet jobbe med nye algoritmer, use cases og software samt bidrar i demonstratorarbeidet. 
SINTEF vil jobbe sammen med Elliptic og de andre partnere innenfor algoritmer, use case og software. I tillegg vil SINTEF bidrar med nye miniatyriserte transdusere basert på piezoMEMS teknologi og demonstratorer. MEMS stor for miniatyriserte elektromekaniske systemer.",Teknisk-industrielle institutter,Instituttsektor,7819000,Andreas Vogl,SINTEF AVD FORSKNINGSVEIEN OSLO,Oslo
281769,SIMulate new STRUctures for HEALTHcare,2017,2020,"The Inland Hospital Trust is one of the largest health entities in Noway with 8500 employees covering an area equal to Denmark in size. 
The current hospital structure at IHT was established at a time when hospitals had general competence and treated the patient with the methods available locally. Medical and technological development creates new treatment options that require new forms of work. Several professional environments depend on each other and therefore several services need to be gathered. The development also opens up opportunities for a higher ambition of decentralization and home based care. 

Hence we want to utilize disruptive technologies as Virtual Reality, and artificial intelligence to simulate and interact in a game based environment for public and private actors to gather new insights and competence to better decide on future hospital structure at IHT.

Questions raised will be in the form of
* What are the right resources to be used where and when?
* What functions need to be deployed for the general conditions to be met so that the purpose can be achieved? I?e currently the purpose of the IHT is stated by the Norwegian health directorate as: 
1: Reduce unnecessary waiting and variation in capacity utilization
2. Prioritize mental health care and interdisciplinary specialized drug treatment
3. Better quality and patient safety
* What form (processes, procedures and systems) need to be performed that embody the functions? 
* How do we design a health system that can hold and develop these procedures, processes and systems?

To address the above questions and create a innovation system for stakeholders to make this kind of decitions we will explore the Transformative impact of disruptive technologies in public services as stated in the forthcoming H2020 call DT-TRANSFORMATIONS-02-2018-2019-2020.",Helse Sør-Øst RHF,Helseforetak,60000,Marianne Lagerstedt,SYKEHUSET INNLANDET HF,Ringsaker
281793,KogniGrid - Digital tvilling for optimal nettdrift,2018,2021,"Prosjektet «KogniGrid» har til hensikt å digitalisere prosessene i nettselskapene for å møte fremtidige utfordringer som kapasitetsbegrensninger og endret energiflyt på en kostnadseffektiv måte. 

Dette skal realiseres gjennom å etablere en digital tvilling av distribusjonsnettet som vil muliggjøre automatisering og optimalisering i sanntid. Løsningen skal bidra til å optimalisere utnyttelsen av infrastrukturen gjennom å automatisere koordinering, kontroll og styring av dataflyt og energiflyt. Hovedbestanddelene vil bestå av en sanntidssimulator med en harmonisert og dynamisk informasjonsmodell i en moderne sikkerhetsarkitektur realisert på en dedikert digital plattform. En slik løsning vil tilgjengeliggjøre informasjon gjennom å frikoble datalaget og applikasjonslaget med åpne grensesnitt og standarder. Dette åpner for redusert leverandørmakt, men også nye samarbeidsmuligheter mellom aktører. Markedet for KogniGrid vil være nettselskaper og applikasjonsleverandører til nettselskapenes IT-systemer. Plattformen gir også muligheter for å bygge innovative løsninger mot andre løsninger og mot sluttbrukersiden 
 (forbrukerfleksibilitet) på en kostnadseffektiv måte. 

De sentrale forskningsutfordringene for å etablere en slik løsning vil være relatert til:
- Innovativ bruk av sanntids simulatorer og modeller samt nye databaseteknologier for å representere distribusjonsnettet for de nye behovene (feks. bruk av grafdatabaser for effektive søk i komplekse nettstrukturer).
- Med utgangspunkt i state-of-art teknologi fra drift av transmisjonsnett, utvikle tilpassede verktøy for tilstandsestimator og utfallsanalyser slik at driften kan automatiseres og predikteres.
- Undersøkelse av alternative systemarkitekturer som ivaretar sann tidskrav.
- Hypotestesting gjennom proof of concepts hos nettselskap og forsøk i smart grid laboratoriet hos Sintef/NTNU.

Identifisert verdiskapningspotensiale for KogniGrid er stort i samfunnsøkonomisk sammenheng og for bedriftspartnere.",Næringsliv,Næringsliv,12849000,Lasse Jamt,KONGSBERG DIGITAL AS AVD TRONDHEIM,Asker
281832,CombHI: Combining Health and ICT perspectives to build health services for the ageing,2018,2020,"Institutionalization of multimorbid elderly people in nursing homes or hospitals is common practice in Norway and other Western countries, despite the fact that most of us would prefer to live longer, safely at home. The current practice is a substantial and growing cost factor for the health system and anything that will keep people longer at home will have significant socio-economic benefits. At the same time the quality of life and end-of-life care, and burden on caretakers at home must be carefully considered. This also includes ethical decision making, advance care planning, and proper assessment and treatment of pain and distressing symptoms. 

HORIZON 2020 Work Programme (2018-2020) encourages researchers, public care providers, end-users and industry to build sustainable health services for the ageing population. The main aim of our proposed project, CombHI, is to develop the background needed to successfully submit applications to large international collaborative projects, combining Health & ICT approaches. 

Our Norwegian consortium with close international collaboration covers organization-types to join the collaborative Horizon 2020 project: Municipalities, hospitals, industry, end-users, and universities. Head of project is Centre for Elderly and Nursing Home Medicine, University of Bergen (UiB). Other partners are Incubator, UiB; Norwegian Smart Care Cluster; Norwegian National Advisory Unit on Ageing and Health, and Oslo Cancer Cluster Incubator. Excellent researchers from seven other countries will participate.

CombHI presents 3 activities to help reach the goal of international collaboration across subjects and organisations: a) goes through a four-step process from studying the call text to submitted application; b) aims for three pre-projects targeting three of the identified calls; c) immediately start the project application for H2020 call: SC1-BHC-23-2018 by PALLiative care Innovation for Community Dwelling people with DEMentia, PALLIDEM.",Universiteter,UoH-sektor,926000,Bettina Husebø,Institutt for global helse og samfunnsmedisin,Bergen
281861,SEMES - Smart Emergency Medical Services for Cerebral Stroke,2018,2018,"SEMES ønsker å bedre beslutningsstøtten for de akuttmedisinske tjenestene for diagnostisering av akutt hjerneslag ved hjelp av smart teknologi. Dette skal sikre den enkelte pasient riktig og rask behandling og et mer effektivt og samfunnsøkonomisk pasientforløp.

Forprosjektet skal gjennom kartlegging av utfordringer, eksisterende løsninger og kompetanse legge grunnlaget for et hovedprosjekt. Kartleggingen skal gjennomføres via to workshops samt en studietur til et ledende senter for prehospital diagnose av hjerneslag.

I forprosjektet vil en søke å finne gode partnere med utfyllende kompetanse for et hovedprosjekt.

Et hovedprosjekt vil basert på kompetanse fra de kommunale-, spesialist- og akuttmedisinske-tjenestene utvikle digitale beslutningsstøtteverktøy basert på smarte sensorer og kunstig intelligens. Dette vil gjøre kompetansen til spesialistene tilgjengelig der pasienten er og sikre riktige beslutninger tidlig i det akuttmedisinske tjenesteforløpet.

Brukerinvolvering vil bli sikret innenfor de akuttmedisinske tjenestene samt for pasienter. De akuttmedisinske tjenestene vil være representert gjennom RAKOS som har nært samarbeid med ambulansetjenesten og medisinsk nødmeldetjeneste; operativt personell vil bli involvert. Pasienter vil være representert gjennom pasientinteresseorganisasjoner.",Helse Vest RHF,Helseforetak,292209,Anders Erik Liverud,Regionalt akuttmedisinsk kompetansesenter i Helse Vest,Stavanger
281889,Green Values - Fremtidens Energistyring,2018,2021,"Konsortiet, som består av TrønderEnergi, Green Building Solutions (GBS) og Norsk Kylling, ser behovet i markedet for en løsning som kan bidra til mer optimal energistyring i bygg og industri. Sammen besitter vi unike fortrinn som omfatter eksisterende teknologi for nonintrusive load monitoring, høy kompetanse innen produksjonsplanlegging og optimering, et inhouse krafthandelsmiljø samt et særskilt egnet, fullskala demoprosjekt. Dertil kommer et svært kompetent nettverk. Konsortiet ønsker å utvikle en plattform bestående av programvare og tjenester, en såkalt Software as a Service. Plattformen skal markedsføres overfor sluttbrukere, og bidra til optimal privat- og samfunnsøkonomisk utnyttelse av sluttbrukerfleksibilitet. Den baseres på maskinlæring og anvendelse av bl.a. aktivitetsprognoser, meteorologiprognoser og kraftprisprognoser for å oppnå automatisert og prediktiv energistyring.",Næringsliv,Næringsliv,6782826,Ann Merethe Sommerseth,TRØNDERENERGI AS,Trondheim
281891,"Digital patients: tilrettelegge for digitale, sikre, persontilpassete og skalerbare helsetjenester",2018,2020,"Digitale og persontilpassete helsetjenester har potensiale til å gi befolkningen bedre og mer tilpassete helsetjenester og samtidig effektivisere tjenestetilbudet og dermed redusere kostnader. For at dette skal bli en realitet, må eksisterende data og teknologi knyttet til helse og helsetilstand samordnes og utnyttes mer effektivt enn i dag. Dessuten må pasienter og befolkningen forøvrig få mulighet til å se og forstå slike data slik at de selv kan styre helseatferd og bruken av helsetjenester. 

Et vesentlig hinder for oppskalering og implementering av slike løsninger er knyttet til usikkerhet rundt håndtering av sensitive personopplysninger, samt dårlige og lite standardiserte brukergrensesnitt. I tillegg kommer en rekke endringer knyttet til data og personvern i EU/EØS området som vil få betydning for hvordan digitale, persontilpassete helsetjenester vil kunne utvikles i årene fremover.

Digital Patients har som overordnet mål å koble ledende norske miljøer innen Big Data, kunstig intelligens, kommunikasjon og datasikkerhet sammen med tilsvarende sterke miljøer innen medisinsk forskning, epidemiologi og utvikling av helse-og velferdsteknologi. Hensikten er utvikle et felles kunnskapsgrunnlag som gjør det mulig å innta en lederrolle nasjonalt og internasjonalt innenfor utviklingen av digitale, sikre, persontilpassete og skalerbare helsetjenester for pasienter i både ressurssterke og mindre ressurssterke deler av Europa.",Teknisk-industrielle institutter,Instituttsektor,2000000,Charlotte Johanne Haug,SINTEF AS,Trondheim
281934,FinAI: Artificial Intelligence tool to monitor global financial markets,2018,2022,"Today, investment professionals work in a state of information overload, facing an ever-increasing abundance of information. Current tools do not allow investors to process such vast amounts of information effectively, which leads to biased or simply erroneous investment decisions.

Exabel's innovation is an intelligent modeling platform that uses state-of-the-art Artificial Intelligence methods and mathematical modelling techniques to help investors turn the massive streams of data into actionable insights.

The FinAI project will conduct the necessary research for the modeling platform. Our system will support analysis across thousands of exchange-listed companies to surface insights that are tailored to our end users' needs. This will be achieved by an automated model-building framework supporting various types of models at a massive scale.

The main issue is one of generating relevant insights from the raw data flows: processing the data inputs effectively and then building models that best explain the observable patterns in financial markets. We have structured two areas for which research is needed:
1) Extracting structured information from natural language (NLP)
2) Quantifying the effect of information through model building

The tool will be optimized for model building on large non-homogenous data sets. It will be unique in the way it supports analysis of a broad range of data sets including what’s referred to as Alternative Data, to identify patterns that are intelligible only via state-of-the-art data science techniques.",Næringsliv,Næringsliv,14000000,Øyvind Grotmol,EXABEL AS,Oslo
